,state,ca_monthly,age_group,poverty_rate
528,Pennsylvania,200,child,8.2
531,Pennsylvania,225,child,8.1
534,Pennsylvania,250,child,8.0
537,Pennsylvania,275,child,7.4
540,Pennsylvania,300,child,7.2
543,Pennsylvania,325,child,6.5
546,Pennsylvania,350,child,6.2
549,Pennsylvania,375,child,5.8
552,Pennsylvania,400,child,5.6
555,Pennsylvania,425,child,5.3
558,Pennsylvania,450,child,4.8
561,Pennsylvania,475,child,4.4
564,Pennsylvania,500,child,4.1
252,Rhode Island,0,child,9.5
255,Rhode Island,25,child,9.1
258,Rhode Island,50,child,8.9
261,Rhode Island,75,child,8.5
264,Rhode Island,100,child,7.9
267,Rhode Island,125,child,7.3
270,Rhode Island,150,child,7.1
273,Rhode Island,175,child,7.0
276,Rhode Island,200,child,6.3
279,Rhode Island,225,child,6.0
282,Rhode Island,250,child,6.0
285,Rhode Island,275,child,5.8
288,Rhode Island,300,child,5.1
291,Rhode Island,325,child,4.7
294,Rhode Island,350,child,4.2
297,Rhode Island,375,child,4.0
300,Rhode Island,400,child,4.0
303,Rhode Island,425,child,4.0
306,Rhode Island,450,child,3.7
309,Rhode Island,475,child,3.2
312,Rhode Island,500,child,2.6
1701,South Carolina,0,child,15.2
1704,South Carolina,25,child,14.3
1707,South Carolina,50,child,13.6
1710,South Carolina,75,child,12.9
1713,South Carolina,100,child,11.2
1716,South Carolina,125,child,10.3
1719,South Carolina,150,child,9.8
1722,South Carolina,175,child,9.6
1725,South Carolina,200,child,8.7
1728,South Carolina,225,child,8.5
1731,South Carolina,250,child,8.2
1734,South Carolina,275,child,8.0
1737,South Carolina,300,child,7.5
1740,South Carolina,325,child,7.1
1743,South Carolina,350,child,6.6
1746,South Carolina,375,child,6.1
1749,South Carolina,400,child,5.8
1752,South Carolina,425,child,5.7
1755,South Carolina,450,child,5.5
1758,South Carolina,475,child,5.3
1761,South Carolina,500,child,5.0
