,code,state,ca_monthly,poverty_rate
795,PA,Pennsylvania,450,4.8
796,PA,Pennsylvania,475,4.4
797,PA,Pennsylvania,500,4.1
798,RI,Rhode Island,0,9.5
799,RI,Rhode Island,25,9.1
800,RI,Rhode Island,50,8.9
801,RI,Rhode Island,75,8.5
802,RI,Rhode Island,100,7.9
803,RI,Rhode Island,125,7.3
804,RI,Rhode Island,150,7.1
805,RI,Rhode Island,175,7.0
806,RI,Rhode Island,200,6.3
807,RI,Rhode Island,225,6.0
808,RI,Rhode Island,250,6.0
809,RI,Rhode Island,275,5.8
810,RI,Rhode Island,300,5.1
811,RI,Rhode Island,325,4.7
812,RI,Rhode Island,350,4.2
813,RI,Rhode Island,375,4.0
814,RI,Rhode Island,400,4.0
815,RI,Rhode Island,425,4.0
816,RI,Rhode Island,450,3.7
817,RI,Rhode Island,475,3.2
818,RI,Rhode Island,500,2.6
819,SC,South Carolina,0,15.2
820,SC,South Carolina,25,14.3
821,SC,South Carolina,50,13.6
822,SC,South Carolina,75,12.9
823,SC,South Carolina,100,11.2
824,SC,South Carolina,125,10.3
825,SC,South Carolina,150,9.8
826,SC,South Carolina,175,9.6
827,SC,South Carolina,200,8.7
828,SC,South Carolina,225,8.5
829,SC,South Carolina,250,8.2
830,SC,South Carolina,275,8.0
831,SC,South Carolina,300,7.5
832,SC,South Carolina,325,7.1
833,SC,South Carolina,350,6.6
834,SC,South Carolina,375,6.1
835,SC,South Carolina,400,5.8
836,SC,South Carolina,425,5.7
837,SC,South Carolina,450,5.5
838,SC,South Carolina,475,5.3
839,SC,South Carolina,500,5.0
840,SD,South Dakota,0,10.3
841,SD,South Dakota,25,8.6
842,SD,South Dakota,50,7.7
